name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,rating_expanded,platform_group
WII SPORTS,Wii,2006,Sports,41.36,28.96,3.77,8.45,76.0,80.0,E,82.54,Everyone,Nintendo
SUPER MARIO BROS,NES,1985,Platform,29.08,3.58,6.81,0.77,,,,40.24,Pending,Nintendo
MARIO KART WII,Wii,2008,Racing,15.68,12.76,3.79,3.29,82.0,83.0,E,35.519999999999996,Everyone,Nintendo
WII SPORTS RESORT,Wii,2009,Sports,15.61,10.93,3.28,2.95,80.0,80.0,E,32.77,Everyone,Nintendo
POKEMON RED/POKEMON BLUE,GB,1996,Role-Playing,11.27,8.89,10.22,1.0,,,,31.380000000000003,Pending,Nintendo
TETRIS,GB,1989,Puzzle,23.2,2.26,4.22,0.58,,,,30.259999999999998,Pending,Nintendo
NEW SUPER MARIO BROS,DS,2006,Platform,11.28,9.14,6.5,2.88,89.0,85.0,E,29.8,Everyone,Nintendo
WII PLAY,Wii,2006,Misc,13.96,9.18,2.93,2.84,58.0,66.0,E,28.91,Everyone,Nintendo
NEW SUPER MARIO BROS WII,Wii,2009,Platform,14.44,6.94,4.7,2.24,87.0,84.0,E,28.32,Everyone,Nintendo
DUCK HUNT,NES,1984,Shooter,26.93,0.63,0.28,0.47,,,,28.31,Pending,Nintendo
NINTENDOGS,DS,2005,Simulation,9.05,10.95,1.93,2.74,,,,24.67,Pending,Nintendo
MARIO KART DS,DS,2005,Racing,9.71,7.47,4.13,1.9,91.0,86.0,E,23.209999999999997,Everyone,Nintendo
POKEMON GOLD/POKEMON SILVER,GB,1999,Role-Playing,9.0,6.18,7.2,0.71,,,,23.09,Pending,Nintendo
WII FIT,Wii,2007,Sports,8.92,8.03,3.6,2.15,80.0,77.0,E,22.699999999999996,Everyone,Nintendo
KINECT ADVENTURES!,X360,2010,Misc,15.0,4.89,0.24,1.69,61.0,63.0,E,21.82,Everyone,XBox
WII FIT PLUS,Wii,2009,Sports,9.01,8.49,2.53,1.77,80.0,74.0,E,21.8,Everyone,Nintendo
GRAND THEFT AUTO V,PS3,2013,Action,7.02,9.09,0.98,3.96,97.0,82.0,M,21.05,Mature,Playstation
GRAND THEFT AUTO SAN ANDREAS,PS2,2004,Action,9.43,0.4,0.41,10.57,95.0,90.0,M,20.810000000000002,Mature,Playstation
SUPER MARIO WORLD,SNES,1990,Platform,12.78,3.75,3.54,0.55,,,,20.62,Pending,Nintendo
BRAIN AGE TRAIN YOUR BRAIN IN MINUTES A DAY,DS,2005,Misc,4.74,9.2,4.16,2.04,77.0,79.0,E,20.14,Everyone,Nintendo
POKEMON DIAMOND/POKEMON PEARL,DS,2006,Role-Playing,6.38,4.46,6.04,1.36,,,,18.24,Pending,Nintendo
SUPER MARIO LAND,GB,1989,Platform,10.83,2.71,4.18,0.42,,,,18.14,Pending,Nintendo
SUPER MARIO BROS 3,NES,1988,Platform,9.54,3.44,3.84,0.46,,,,17.28,Pending,Nintendo
GRAND THEFT AUTO V,X360,2013,Action,9.66,5.14,0.06,1.41,97.0,81.0,M,16.27,Mature,XBox
GRAND THEFT AUTO VICE CITY,PS2,2002,Action,8.41,5.49,0.47,1.78,95.0,87.0,M,16.150000000000002,Mature,Playstation
POKEMON RUBY/POKEMON SAPPHIRE,GBA,2002,Role-Playing,6.06,3.9,5.38,0.5,,,,15.84,Pending,Nintendo
BRAIN AGE 2 MORE TRAINING IN MINUTES A DAY,DS,2005,Puzzle,3.43,5.35,5.32,1.18,77.0,71.0,E,15.28,Everyone,Nintendo
POKEMON BLACK/POKEMON WHITE,DS,2010,Role-Playing,5.51,3.17,5.65,0.8,,,,15.13,Pending,Nintendo
GRAN TURISMO 3 A-SPEC,PS2,2001,Racing,6.85,5.09,1.87,1.16,95.0,84.0,E,14.969999999999999,Everyone,Playstation
CALL OF DUTY MODERN WARFARE 3,X360,2011,Shooter,9.04,4.24,0.13,1.32,88.0,34.0,M,14.73,Mature,XBox
POKÉMON YELLOW SPECIAL PIKACHU EDITION,GB,1998,Role-Playing,5.89,5.04,3.12,0.59,,,,14.64,Pending,Nintendo
CALL OF DUTY BLACK OPS 3,PS4,2015,Shooter,6.03,5.86,0.36,2.38,,,,14.629999999999999,Pending,Playstation
